from,to,year,award,weight,category,project
Aaron Sorkin,Golden Globe,2022,Golden Globe,1,writing,Being the Ricardos
Aaron Sorkin,BAFTA,2022,BAFTA,1,writing,Being the Ricardos
Abby Elliott,Golden Globe,2024,Golden Globe,1,acting,The Bear
Adam Brody,Golden Globe,2025,Golden Globe,1,acting,Nobody Wants This
Adam Driver,Golden Globe,2023,Golden Globe,1,acting,White Noise
Adam McKay,Oscar,2022,Oscar,1,writing,Don't Look Up
Adam McKay,Golden Globe,2022,Golden Globe,1,writing,Don't Look Up
Adam McKay,BAFTA,2022,BAFTA,1,writing,Don't Look Up
Adam Scott,Golden Globe,2023,Golden Globe,1,acting,Severance
Adeel Akhtar,BAFTA,2022,BAFTA,1,acting,Ali & Ava
Adrien Brody,Oscar,2025,Oscar,2,acting,The Brutalist
Adrien Brody,Golden Globe,2025,Golden Globe,2,acting,The Brutalist
Adrien Brody,BAFTA,2025,BAFTA,2,acting,The Brutalist
Ala Haim,Golden Globe,2022,Golden Globe,1,acting,Licorice Pizza
Ala Haim,BAFTA,2022,BAFTA,1,acting,Licorice Pizza
Alan Ruck,Golden Globe,2024,Golden Globe,1,acting,Succession
Aleem Khan,BAFTA,2022,BAFTA,1,directing,After Love
Alex David,Oscar,2025,Oscar,1,writing,September 5
Alex Mechanik,Oscar,2024,Oscar,1,writing,May December
Alexander Payne,BAFTA,2024,BAFTA,1,directing,The Holdovers
Alexander Skarsgård,Golden Globe,2024,Golden Globe,1,acting,Succession
Ali Wong,Golden Globe,2024,Golden Globe,2,acting,Beef
Allison Janney,Golden Globe,2025,Golden Globe,1,acting,The Diplomat
Alma Pöysti,Golden Globe,2024,Golden Globe,1,acting,Fallen Leaves
Amanda Seyfried,Golden Globe,2023,Golden Globe,2,acting,The Dropout
America Ferrera,Oscar,2024,Oscar,1,acting,Barbie
Amy Adams,Golden Globe,2025,Golden Globe,1,acting,Nightbitch
An Sawai,Golden Globe,2025,Golden Globe,2,acting,Shogun
Ana de Armas,Oscar,2023,Oscar,1,acting,Blonde
Ana de Armas,Golden Globe,2023,Golden Globe,1,acting,Blonde
Ana de Armas,BAFTA,2023,BAFTA,1,acting,Blonde
Andie MacDowell,Golden Globe,2022,Golden Globe,1,acting,Maid
Andrea Riseborough,Oscar,2023,Oscar,1,acting,To Leslie
Andrew Garfield,Oscar,2022,Oscar,1,acting,"tick, tick...BOOM!"
Andrew Garfield,Golden Globe,2022,Golden Globe,2,acting,"tick, tick...BOOM!"
Andrew Garfield,Golden Globe,2023,Golden Globe,1,acting,Under the Banner of Heaven
Andrew Haigh,BAFTA,2024,BAFTA,1,directing,All of Us Strangers
Andrew Haigh,BAFTA,2024,BAFTA,1,writing,All of Us Strangers
Andrew Scott,Golden Globe,2024,Golden Globe,1,acting,All of Us Strangers
Andrew Scott,Golden Globe,2025,Golden Globe,1,acting,Ripley
Angela Bassett,Oscar,2023,Oscar,1,acting,Black Panther: Wakanda Forever
Angela Bassett,Golden Globe,2023,Golden Globe,2,acting,Black Panther: Wakanda Forever
Angelina Jolie,Golden Globe,2025,Golden Globe,1,acting,Maria
Annette Bening,Oscar,2024,Oscar,1,acting,Nyad
Annette Bening,Golden Globe,2024,Golden Globe,1,acting,Nyad
Anthony Anderson,Golden Globe,2022,Golden Globe,1,acting,Black-ish
Anthony Ramos,Golden Globe,2022,Golden Globe,1,acting,In the Heights
Anya Taylor-Joy,Golden Globe,2023,Golden Globe,1,acting,The Menu
Ariana DeBose,Oscar,2022,Oscar,2,acting,West Side Story (2021)
Ariana DeBose,Golden Globe,2022,Golden Globe,2,acting,West Side Story (2021)
Ariana Grande,Oscar,2025,Oscar,1,acting,Wicked
Ariana Grande,Golden Globe,2025,Golden Globe,1,acting,Wicked
Arthur Harari,Oscar,2024,Oscar,2,writing,Anatomy of a Fall
Arthur Harari,Golden Globe,2024,Golden Globe,2,writing,Anatomy of a Fall
Arthur Harari,BAFTA,2024,BAFTA,2,writing,Anatomy of a Fall
Audrey Diwan,BAFTA,2022,BAFTA,1,directing,Happening
Aunjanue Ellis,Oscar,2022,Oscar,1,acting,King Richard
Aunjanue Ellis,Golden Globe,2022,Golden Globe,1,acting,King Richard
Austin Butler,Oscar,2023,Oscar,1,acting,Elvis
Austin Butler,Golden Globe,2023,Golden Globe,2,acting,Elvis
Austin Butler,BAFTA,2023,BAFTA,2,acting,Elvis
Ayo Edebiri,Golden Globe,2025,Golden Globe,1,acting,The Bear
Ayo Edebiri,Golden Globe,2024,Golden Globe,2,acting,The Bear
Barry Keoghan,Golden Globe,2024,Golden Globe,1,acting,Saltburn
Barry Keoghan,BAFTA,2024,BAFTA,1,acting,Saltburn
Barry Keoghan,Oscar,2023,Oscar,1,acting,The Banshees of Inisherin
