id,type,sex,ethnicity,year_of_birth
BAFTA,AwardEvent,,,
Golden Globe,AwardEvent,,,
Oscar,AwardEvent,,,
Aaron Sorkin,Person,male,White,1961
Abby Elliott,Person,female,White,1987
Adam Brody,Person,male,White,1979
Adam Driver,Person,male,White,1983
Adam McKay,Person,male,White,1960
Adam Scott,Person,male,White,1973
Adeel Akhtar,Person,male,Asian,1980
Adrien Brody,Person,male,White,1973
Ala Haim,Person,female,White,1991
Alan Ruck,Person,male,White,1956
Aleem Khan,Person,male,Asian,1985
Alex David,Person,male,White,
Alex Mechanik,Person,male,White,1986
Alexander Payne,Person,male,White,1961
Alexander Skarsgård,Person,male,White,1976
Ali Wong,Person,female,Asian,1982
Allison Janney,Person,female,White,1959
Alma Pöysti,Person,female,White,1981
Amanda Seyfried,Person,female,White,1985
America Ferrera,Person,female,Latin,1984
Amy Adams,Person,female,White,1974
An Sawai,Person,female,Asian,1992
Ana de Armas,Person,female,Latin,1988
Andie MacDowell,Person,female,White,1958
Andrea Riseborough,Person,female,White,1981
Andrew Garfield,Person,male,White,1983
Andrew Haigh,Person,male,White,1973
Andrew Scott,Person,male,White,1976
Angela Bassett,Person,female,Black,1958
Angelina Jolie,Person,female,White,1975
Annette Bening,Person,female,White,1958
Anthony Anderson,Person,male,Black,1970
Anthony Ramos,Person,male,Latin,1991
Anya Taylor-Joy,Person,female,White,1996
Ariana DeBose,Person,female,Mixed,1991
Ariana Grande,Person,female,White,1993
Arthur Harari,Person,male,White,1981
Audrey Diwan,Person,female,Mixed,1980
Aunjanue Ellis,Person,female,Black,1969
Austin Butler,Person,male,White,1991
Ayo Edebiri,Person,female,Black,1995
Barry Keoghan,Person,male,White,1992
Baz Luhrmann,Person,male,White,1962
Bella Ramsey,Person,female,White ,2003
Ben Affleck,Person,male,White,1972
Benedict Cumberbatch,Person,male,White,1976
Bill Hader,Person,male,White,1978
Bill Nighy,Person,male,White,1949
Billy Bob Thornton,Person,male,White,1955
Billy Crudup,Person,male,White,1968
Billy Porter,Person,male,Black,1969
Bob Odenkirk,Person,male,White,1962
Brad Pitt,Person,male,White,1963
Bradley Cooper,Person,male,White,1975
Brady Corbet,Person,male,White,1988
Brendan Fraser,Person,male,White,1968
Brendan Gleeson,Person,male,White,1955
Brett Goldstein,Person,male,White,1980
Brian Cox,Person,male,White,1946
Brian Tyree Henry,Person,male,Black,1982
Brie Larson,Person,female,White,1989
Cailee Spaeny,Person,female,White,1998
Caitriona Balfe,Person,female,White,1979
Carey Mulligan,Person,female,White,1978
Cate Blanchett,Person,female,White,1969
Celine Song,Person,female,Asian,1988
Charles Melton,Person,male,Mixed,1991
Christina Ricci,Person,female,White,1980
Christine Baranski,Person,female,White,1952
Christopher McQuarrie,Person,male,White,1968
Christopher Nolan,Person,male,White,1970
Ciarán Hinds,Person,male,White,1953
Cillian Murphy,Person,male,White,1976
Clarence Maclin,Person,male,Black,1966
Clint Bentley,Person,male,White,1985
Colin Farrell,Person,male,White,1976
Colin Firth,Person,male,White,1960
Colm Bairéad,Person,male,White,1981
Colman Domingo,Person,male,Black,1969
Cooper Hoffman,Person,male,White,2003
Cooper Koch,Person,male,White,1996
Coralie Fargeat,Person,female,White,1976
Cord Jefferson,Person,male,Black,1982
Cristin Milioti,Person,female,White,1985
Cynthia Erivo,Person,female,Black,1987
Da'Vine Joy Randolph,Person,female,Black,1986
Daisy Edgar-Jones,Person,female,White,1998
Dakota Fanning,Person,female,White,1994
Daniel Craig,Person,male,White,1968
