from,to,year,award,weight,category
Aaron Sorkin,Golden Globe,2022,Golden Globe,1,writing
Aaron Sorkin,BAFTA,2022,BAFTA,1,writing
Abby Elliott,Golden Globe,2024,Golden Globe,1,acting
Adam Brody,Golden Globe,2025,Golden Globe,1,acting
Adam Driver,Golden Globe,2023,Golden Globe,1,acting
Adam McKay,Oscar,2022,Oscar,1,writing
Adam McKay,Golden Globe,2022,Golden Globe,1,writing
Adam McKay,BAFTA,2022,BAFTA,1,writing
Adam Scott,Golden Globe,2023,Golden Globe,1,acting
Adeel Akhtar,BAFTA,2022,BAFTA,1,acting
Adrien Brody,Oscar,2025,Oscar,2,acting
Adrien Brody,Golden Globe,2025,Golden Globe,2,acting
Adrien Brody,BAFTA,2025,BAFTA,2,acting
Ala Haim,Golden Globe,2022,Golden Globe,1,acting
Ala Haim,BAFTA,2022,BAFTA,1,acting
Alan Ruck,Golden Globe,2024,Golden Globe,1,acting
Aleem Khan,BAFTA,2022,BAFTA,1,directing
Alex David,Oscar,2025,Oscar,1,writing
Alex Mechanik,Oscar,2024,Oscar,1,writing
Alexander Payne,BAFTA,2024,BAFTA,1,directing
Alexander Skarsgård,Golden Globe,2024,Golden Globe,1,acting
Ali Wong,Golden Globe,2024,Golden Globe,2,acting
Allison Janney,Golden Globe,2025,Golden Globe,1,acting
Alma Pöysti,Golden Globe,2024,Golden Globe,1,acting
Amanda Seyfried,Golden Globe,2023,Golden Globe,2,acting
America Ferrera,Oscar,2024,Oscar,1,acting
Amy Adams,Golden Globe,2025,Golden Globe,1,acting
An Sawai,Golden Globe,2025,Golden Globe,2,acting
Ana de Armas,Oscar,2023,Oscar,1,acting
Ana de Armas,Golden Globe,2023,Golden Globe,1,acting
Ana de Armas,BAFTA,2023,BAFTA,1,acting
Andie MacDowell,Golden Globe,2022,Golden Globe,1,acting
Andrea Riseborough,Oscar,2023,Oscar,1,acting
Andrew Garfield,Oscar,2022,Oscar,1,acting
Andrew Garfield,Golden Globe,2022,Golden Globe,2,acting
Andrew Garfield,Golden Globe,2023,Golden Globe,1,acting
Andrew Haigh,BAFTA,2024,BAFTA,1,directing
Andrew Haigh,BAFTA,2024,BAFTA,1,writing
Andrew Scott,Golden Globe,2024,Golden Globe,1,acting
Andrew Scott,Golden Globe,2025,Golden Globe,1,acting
Angela Bassett,Oscar,2023,Oscar,1,acting
Angela Bassett,Golden Globe,2023,Golden Globe,2,acting
Angelina Jolie,Golden Globe,2025,Golden Globe,1,acting
Annette Bening,Oscar,2024,Oscar,1,acting
Annette Bening,Golden Globe,2024,Golden Globe,1,acting
Anthony Anderson,Golden Globe,2022,Golden Globe,1,acting
Anthony Ramos,Golden Globe,2022,Golden Globe,1,acting
Anya Taylor-Joy,Golden Globe,2023,Golden Globe,1,acting
Ariana DeBose,Oscar,2022,Oscar,2,acting
Ariana DeBose,Golden Globe,2022,Golden Globe,2,acting
Ariana Grande,Oscar,2025,Oscar,1,acting
Ariana Grande,Golden Globe,2025,Golden Globe,1,acting
Arthur Harari,Oscar,2024,Oscar,2,writing
Arthur Harari,Golden Globe,2024,Golden Globe,2,writing
Arthur Harari,BAFTA,2024,BAFTA,2,writing
Audrey Diwan,BAFTA,2022,BAFTA,1,directing
Aunjanue Ellis,Oscar,2022,Oscar,1,acting
Aunjanue Ellis,Golden Globe,2022,Golden Globe,1,acting
Austin Butler,Oscar,2023,Oscar,1,acting
Austin Butler,Golden Globe,2023,Golden Globe,2,acting
Austin Butler,BAFTA,2023,BAFTA,2,acting
Ayo Edebiri,Golden Globe,2025,Golden Globe,1,acting
Ayo Edebiri,Golden Globe,2024,Golden Globe,2,acting
Barry Keoghan,Golden Globe,2024,Golden Globe,1,acting
Barry Keoghan,BAFTA,2024,BAFTA,1,acting
Barry Keoghan,Oscar,2023,Oscar,1,acting
Barry Keoghan,Golden Globe,2023,Golden Globe,1,acting
Baz Luhrmann,Golden Globe,2023,Golden Globe,1,directing
Bella Ramsey,Golden Globe,2024,Golden Globe,1,acting
Ben Affleck,Golden Globe,2022,Golden Globe,1,acting
Benedict Cumberbatch,Oscar,2022,Oscar,1,acting
Benedict Cumberbatch,Golden Globe,2022,Golden Globe,1,acting
Benedict Cumberbatch,BAFTA,2022,BAFTA,1,acting
Bill Hader,Golden Globe,2024,Golden Globe,1,acting
Bill Hader,Golden Globe,2023,Golden Globe,1,acting
Bill Nighy,Oscar,2023,Oscar,1,acting
Bill Nighy,Golden Globe,2023,Golden Globe,1,acting
Bill Nighy,BAFTA,2023,BAFTA,1,acting
Billy Bob Thornton,Golden Globe,2025,Golden Globe,1,acting
Billy Crudup,Golden Globe,2024,Golden Globe,1,acting
Billy Crudup,Golden Globe,2022,Golden Globe,1,acting
Billy Porter,Golden Globe,2022,Golden Globe,1,acting
Bob Odenkirk,Golden Globe,2023,Golden Globe,1,acting
Brad Pitt,Golden Globe,2023,Golden Globe,1,acting
Bradley Cooper,Oscar,2024,Oscar,1,acting
Bradley Cooper,Golden Globe,2024,Golden Globe,1,acting
Bradley Cooper,BAFTA,2024,BAFTA,1,acting
Bradley Cooper,Golden Globe,2024,Golden Globe,1,directing
Bradley Cooper,BAFTA,2024,BAFTA,1,directing
Bradley Cooper,Oscar,2024,Oscar,1,writing
Bradley Cooper,BAFTA,2024,BAFTA,1,writing
Brady Corbet,Oscar,2025,Oscar,1,directing
Brady Corbet,Golden Globe,2025,Golden Globe,2,directing
Brady Corbet,Oscar,2025,Oscar,1,writing
Brady Corbet,Golden Globe,2025,Golden Globe,1,writing
Brady Corbet,BAFTA,2025,BAFTA,1,writing
Brady Corbet,BAFTA,2025,BAFTA,2,directing
Brendan Fraser,Oscar,2023,Oscar,2,acting
Brendan Fraser,Golden Globe,2023,Golden Globe,1,acting
Brendan Fraser,BAFTA,2023,BAFTA,1,acting
Brendan Gleeson,Oscar,2023,Oscar,1,acting
Brendan Gleeson,Golden Globe,2023,Golden Globe,1,acting
Brett Goldstein,Golden Globe,2022,Golden Globe,1,acting
Brian Cox,Golden Globe,2024,Golden Globe,1,acting
Brian Cox,Golden Globe,2022,Golden Globe,1,acting
Brian Tyree Henry,Oscar,2023,Oscar,1,acting
Brie Larson,Golden Globe,2024,Golden Globe,1,acting
Cailee Spaeny,Golden Globe,2024,Golden Globe,1,acting
Caitriona Balfe,Golden Globe,2022,Golden Globe,1,acting
Carey Mulligan,Oscar,2024,Oscar,1,acting
Carey Mulligan,Golden Globe,2024,Golden Globe,1,acting
Carey Mulligan,BAFTA,2024,BAFTA,1,acting
Carey Mulligan,Golden Globe,2023,Golden Globe,1,acting
Cate Blanchett,Golden Globe,2025,Golden Globe,1,acting
Cate Blanchett,Oscar,2023,Oscar,1,acting
Cate Blanchett,Golden Globe,2023,Golden Globe,2,acting
Cate Blanchett,BAFTA,2023,BAFTA,2,acting
Celine Song,Golden Globe,2024,Golden Globe,1,directing
Celine Song,Oscar,2024,Oscar,1,writing
Celine Song,Golden Globe,2024,Golden Globe,1,writing
Celine Song,BAFTA,2024,BAFTA,1,writing
Charles Melton,Golden Globe,2024,Golden Globe,1,acting
Christina Ricci,Golden Globe,2024,Golden Globe,1,acting
Christine Baranski,Golden Globe,2022,Golden Globe,1,acting
Christopher McQuarrie,Oscar,2023,Oscar,1,writing
Christopher Nolan,Oscar,2024,Oscar,2,directing
Christopher Nolan,Golden Globe,2024,Golden Globe,2,directing
Christopher Nolan,BAFTA,2024,BAFTA,2,directing
Christopher Nolan,Oscar,2024,Oscar,1,writing
