from,to,year,award,weight,category,project,sex,ethnicity,year of birth
Mikey Madison,Oscar,2025,Oscar,2,acting,Anora,female,White,1999
Cynthia Erivo,Oscar,2025,Oscar,1,acting,Wicked,female,Black,1987
Karla Sofía Gascón,Oscar,2025,Oscar,1,acting,Emilia Pérez,female,Mixed,1972
Demi Moore,Oscar,2025,Oscar,1,acting,The Substance,female,White,1962
Fernanda Torres,Oscar,2025,Oscar,1,acting,I'm Still Here,female,Latin,1965
Zoe Saldaña,Oscar,2025,Oscar,2,acting,Emilia Pérez,female,Mixed,1978
Monica Barbaro,Oscar,2025,Oscar,1,acting,A Complete Unknown,female,Mixed,1990
Ariana Grande,Oscar,2025,Oscar,1,acting,Wicked,female,White,1993
Felicity Jones,Oscar,2025,Oscar,1,acting,The Brutalist,female,White,1983
Isabella Rossellini,Oscar,2025,Oscar,1,acting,Conclave,female,White,1952
Emma Stone,Oscar,2024,Oscar,2,acting,Poor Things,female,White,1988
Annette Bening,Oscar,2024,Oscar,1,acting,Nyad,female,White,1958
Lily Gladstone,Oscar,2024,Oscar,1,acting,Killers of the Flower Moon,female,Indigenous,1986
Sandra Hüller,Oscar,2024,Oscar,1,acting,Anatomy of a Fall,female,White,1978
Carey Mulligan,Oscar,2024,Oscar,1,acting,Maestro,female,White,1978
Da'Vine Joy Randolph,Oscar,2024,Oscar,2,acting,The Holdovers,female,Black,1986
Emily Blunt,Oscar,2024,Oscar,1,acting,Oppenheimer,female,White,1983
Danielle Brooks,Oscar,2024,Oscar,1,acting,The Color Purple,female,Black,1989
America Ferrera,Oscar,2024,Oscar,1,acting,Barbie,female,Latin,1984
Jodie Foster,Oscar,2024,Oscar,1,acting,Nyad,female,White,1962
Michelle Yeoh,Oscar,2023,Oscar,2,acting,Everything Everywhere All at Once,female,Asian,1962
Cate Blanchett,Oscar,2023,Oscar,1,acting,TÁR,female,White,1969
Ana de Armas,Oscar,2023,Oscar,1,acting,Blonde,female,Latina,1988
Andrea Riseborough,Oscar,2023,Oscar,1,acting,To Leslie,female,White,1981
Michelle Williams,Oscar,2023,Oscar,1,acting,The Fabelmans,female,White,1980
Jamie Lee Curtis,Oscar,2023,Oscar,2,acting,Everything Everywhere All at Once,female,White,1958
Angela Bassett,Oscar,2023,Oscar,1,acting,Black Panther: Wakanda Forever,female,Black,1958
Hong Chau,Oscar,2023,Oscar,1,acting,The Whale,female,Asian,1979
Kerry Condon,Oscar,2023,Oscar,1,acting,The Banshees of Inisherin,female,White,1983
Stephanie Hsu,Oscar,2023,Oscar,1,acting,Everything Everywhere All at Once,female,Asian,1990
Jessica Chastain,Oscar,2022,Oscar,2,acting,The Eyes of Tammy Faye,female,White,1977
Olivia Colman,Oscar,2022,Oscar,1,acting,The Lost Daughter,female,White,1974
Penélope Cruz,Oscar,2022,Oscar,1,acting,Parallel Mothers,female,White,1974
Nicole Kidman,Oscar,2022,Oscar,1,acting,Being the Ricardos,female,White,1967
Kristen Stewart,Oscar,2022,Oscar,1,acting,Spencer,female,White,1990
Ariana DeBose,Oscar,2022,Oscar,2,acting,West Side Story,female,Mixed,1991
Jessie Buckley,Oscar,2022,Oscar,1,acting,The Lost Daughter,female,White,1989
Judi Dench,Oscar,2022,Oscar,1,acting,Belfast,female,White,1934
Kirsten Dunst,Oscar,2022,Oscar,1,acting,The Power of the Dog,female,White,1982
Aunjanue Ellis,Oscar,2022,Oscar,1,acting,King Richard,female,Black,1969
Fernanda Torres,Golden Globe,2025,Golden Globe,2,acting,I'm Still Here,female,White,1965
Angelina Jolie,Golden Globe,2025,Golden Globe,1,acting,Maria,female,White,1975
Kate Winslet,Golden Globe,2025,Golden Globe,1,acting,Lee,female,White,1975
Nicole Kidman,Golden Globe,2025,Golden Globe,1,acting,Babygirl,female,White,1967
Pamela Anderson,Golden Globe,2025,Golden Globe,1,acting,The Last Showgirl,female,White,1967
Tilda Swinton,Golden Globe,2025,Golden Globe,1,acting,The Room Next Door,female,White,1960
Demi Moore,Golden Globe,2025,Golden Globe,2,acting,The Substance,female,White,1962
Amy Adams,Golden Globe,2025,Golden Globe,1,acting,Nightbitch,female,White,1974
Cynthia Erivo,Golden Globe,2025,Golden Globe,1,acting,Wicked,female,Black,1987
Karla Sofía Gascón,Golden Globe,2025,Golden Globe,1,acting,Emilia Pérez,female,White,1972
Mikey Madison,Golden Globe,2025,Golden Globe,1,acting,Anora,female,White,1999
Zendaya,Golden Globe,2025,Golden Globe,1,acting,Challengers,female,Black,1996
